莫達拉Magdala|原創桌遊|data/images/product/_莫達拉-1.jpg|_莫達拉-1.jpg|10|1100|罐頭貓|策略競賽型桌遊，考驗玩家彼此間的爾虞我詐|3~5人|20-40分鐘|18歲以上|3-5人
東印度公司|原創桌遊|data/images/product/_東印度公司-1.jpg|_東印度公司-1.jpg|10|1200|DWS桌遊|擁有自己的東印度公司，打造一個貿易帝國|5~10人|20-40分鐘|18歲以上|5~10人
海食王Ocean King|原創桌遊|data/images/product/_海食王-1.jpg|_海食王-1.jpg|10|1600|神譜文創|扮演人類與海洋生物，於兩者間體會生存境遇之異同|3~5人|20-40分鐘|18歲以上|3~5人
功夫擂台|原創桌遊|data/images/product/_功夫擂台-1.jpg|_功夫擂台-1.jpg|10|900|享想工作室|當喵忍者遇上汪武僧，為了毛夥伴，秀出真功夫吧|3~5人|20-40分鐘|18歲以上|3~5人
台灣花札|原創桌遊|data/images/product/_台灣花札-1.jpg|_台灣花札-1.jpg|10|600|艸艸設計|以花牌為基礎融入台灣在地元素的紙牌遊戲，簡單易懂|3~5人|20-40分鐘|18歲以上|3~5人
Majolica馬約利卡|原創桌遊|data/images/product/_馬約利卡-1.jpg|_馬約利卡-1.jpg|10|900|藍鵲遊戲|台灣金門的花磚藝術與主打遊戲性的桌上遊戲|3~5人|20-40分鐘|18歲以上|3~5人
海賊對決|原創桌遊|data/images/product/_海賊對決-1.jpg|_海賊對決-1.jpg|10|600|Crystal Kung水晶孔|扮演傳奇海賊，爭奪傳說中的「迷失荷蘭人寶藏」|5~10人|20-40分鐘|18歲以上|5~10人
密室桌遊UndoBox|原創桌遊|data/images/product/_密室桌遊UndoBox-1.jpg|_密室桌遊UndoBox-1.jpg|10|700|享印學堂|不同於實境密室逃脫，在桌子上就能和朋友動腦解謎|5~10人|20-40分鐘|18歲以上|5~10人
夜市人蔘|原創桌遊|data/images/product/_夜市人蔘-1.jpg|_夜市人蔘-1.jpg|10|700|夜市人蔘|闔家歡樂型桌遊，透過遊戲認識台灣小吃|5~10人|20-40分鐘|18歲以上|5~10人
誰是強國人|原創桌遊|data/images/product/_誰是強國人-1.jpg|_誰是強國人-1.jpg|10|1000|美麗島風雲|最本土的遊戲挑戰最科幻的未來世界觀|3~5人|20-40分鐘|18歲以上|3~5人
敢愛就來|原創桌遊|data/images/product/_敢愛就來-1.png|_敢愛就來-1.png|10|1000|迷走工作坊|遊戲簡介：以愛之名，立於生死之前|3~5人|20-40分鐘|18歲以上|3~5人
柏林咖啡館|原創桌遊|data/images/product/_柏林咖啡館-1.jpg|_柏林咖啡館-1.jpg|10|1500|此木創遊The Wood Games|想開一間咖啡店嗎？在桌面上真實體驗|3~5人|20-40分鐘|18歲以上|3~5人
你是不是沒朋友|原創桌遊|data/images/product/_你是不是沒朋友-1.jpg|_你是不是沒朋友-1.jpg|10|600|工具時代 ft. 桃色壞男孩 ex|我邊緣我驕傲，膚淺的友誼我不要|1~3人|20-40分鐘|18歲以上|1~3人
厭世動物園|原創桌遊|data/images/product/_厭世動物園-1.jpg|_厭世動物園-1.jpg|10|1000|厭世動物園|一款「求生不得，求死不難」的桌上遊戲|5~10人|20-40分鐘|18歲以上|5~10人
眾神聖戰|原創桌遊|data/images/product/_眾神聖戰-1.jpg|_眾神聖戰-1.jpg|10|1200|某些人的創意| 一個不可能的理念，帶自製桌遊邁向更高境界|5~10人|20-40分鐘|18歲以上|5~10人
烏托邦賽局|原創桌遊|data/images/product/_烏托邦賽局-1.jpg|_烏托邦賽局-1.jpg|10|900|他群|六種階級，三個世代，社會要如何才能邁向烏托邦|5~10人|20-40分鐘|18歲以上|5~10人
